gpu_name,sm,timestamp_utc,part,kernel,impl,case,status,detail
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,matmul,tilelang,normal,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,matmul,tilelang,nan,PROPAGATES_SAME,"ref(nan=True,inf=False) dsl(nan=True,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,matmul,tilelang,posinf,PROPAGATES_SAME,"ref(nan=False,inf=True) dsl(nan=False,inf=True) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,matmul,tilelang,neginf,PROPAGATES_SAME,"ref(nan=False,inf=True) dsl(nan=False,inf=True) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,matmul,tilelang,large_mag,MATCH,"ref(nan=False,inf=True) dsl(nan=False,inf=True) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,matmul,tilelang,denormal,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,matmul,tilelang,all_equal_rows,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,add,tilelang,normal,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,add,tilelang,nan,PROPAGATES_SAME,"ref(nan=True,inf=False) dsl(nan=True,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,add,tilelang,posinf,PROPAGATES_SAME,"ref(nan=False,inf=True) dsl(nan=False,inf=True) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,add,tilelang,neginf,PROPAGATES_SAME,"ref(nan=False,inf=True) dsl(nan=False,inf=True) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,add,tilelang,large_mag,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,add,tilelang,denormal,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,add,tilelang,all_equal_rows,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,softmax,tilelang,normal,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=3.73e-09"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,softmax,tilelang,nan,PROPAGATES_SAME,"ref(nan=True,inf=False) dsl(nan=True,inf=False) nan_match=True inf_match=True finite_max_abs=3.73e-09"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,softmax,tilelang,posinf,PROPAGATES_SAME,"ref(nan=True,inf=False) dsl(nan=True,inf=False) nan_match=True inf_match=True finite_max_abs=5.59e-09"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,softmax,tilelang,neginf,PROPAGATES_SAME,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=3.73e-09"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,softmax,tilelang,large_mag,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,softmax,tilelang,denormal,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,softmax,tilelang,all_equal_rows,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,layer_norm,tilelang,normal,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=3.81e-06"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,layer_norm,tilelang,nan,PROPAGATES_SAME,"ref(nan=True,inf=False) dsl(nan=True,inf=False) nan_match=True inf_match=True finite_max_abs=4.53e-06"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,layer_norm,tilelang,posinf,PROPAGATES_SAME,"ref(nan=True,inf=False) dsl(nan=True,inf=False) nan_match=True inf_match=True finite_max_abs=3.81e-06"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,layer_norm,tilelang,neginf,PROPAGATES_SAME,"ref(nan=True,inf=False) dsl(nan=True,inf=False) nan_match=True inf_match=True finite_max_abs=4.77e-06"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,layer_norm,tilelang,large_mag,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=5.25e-06"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,layer_norm,tilelang,denormal,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,edge,layer_norm,tilelang,all_equal_rows,MATCH,"ref(nan=False,inf=False) dsl(nan=False,inf=False) nan_match=True inf_match=True finite_max_abs=0"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,mitigation,layer_norm_tilelang,optimized,revalidate,REVALIDATED,"max_abs_err=0.0625  tol={'atol': 0.02, 'rtol': 0.02}"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,mitigation,rms_norm_tilelang,optimized,revalidate,REVALIDATED,"max_abs_err=0.00391  tol={'atol': 0.002, 'rtol': 0.002}"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,mitigation,argmax_tilelang,optimized,revalidate,REVALIDATED,index_match=100.00%
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,mitigation,matmul_triton,optimized,revalidate,REVALIDATED,"max_abs_err=0  tol={'atol': 0.2, 'rtol': 0.01}"
NVIDIA GH200 480GB,sm_90,2026-06-26T02:45:05+00:00,mitigation,conv2d_triton,optimized,revalidate,REVALIDATED,"max_abs_err=0.0312  tol={'atol': 0.002, 'rtol': 0.002}"
